APMC's,Commodity,Min Price(Price in Rs.),Modal Price(Price in Rs.),Max Price(Price in Rs.)
KHAIR,CARROT,800,800,800
KHALILABAD,BOTTLE GOURD,1200,1200,1300
KHALILABAD,CAULIFLOWER,1000,1000,1000
KHALILABAD,GREEN CHILLI,1800,1800,1800
KHALILABAD,POINTED GOURD (PARWAL),2800,2800,2800
KHALILABAD,JACK FRUIT,1700,1700,1700
KHALILABAD,TOMATO,600,600,600
KHALILABAD,PEAS SHELLING,1300,1300,1300
KHALILABAD,BRINJAL,800,850,850
KHALILABAD,CUCUMBER,1500,1500,1500
KHALILABAD,LADY FINGER,1600,1600,1600
KHALILABAD,GRAPES,3000,3000,3000
KHALILABAD,PUMPKIN,800,800,800
KHALILABAD,PAPAYA,2000,2000,2000
LAKHIMPUR,MUSTARD,5005,5450,6040
LAKHIMPUR,PADDY,2004,2010,2020
LAKHIMPUR,MUSTARD,5005,5020,5400
LAKHIMPUR,WHEAT,2680,2700,2700
LUCKNOW,TOMATO,800,800,800
LUCKNOW,TOMATO,800,800,800
MADHOGANJ,WHEAT,2700,2760,2760
MADHOGANJ,MAIZE-NEW,2280,2300,2350
MAHMUDABAD,PADDY,2109,2110,2120
MATHURA,POTATO,900,900,900
MATHURA,MUSTARD,5200,5200,5200
MAURANIPUR,MASOOR,5800,5800,5800
MAURANIPUR,WHITE PEAS,3000,3000,3000
MEERUT,GREEN CHILLI,2000,2100,2200
MEERUT,TOMATO,700,800,800
MEERUT,POTATO,900,900,1000
MIRZAPUR,GREEN CHILLI,1010,1025,1025
MIRZAPUR,BRINJAL,680,680,685
MIRZAPUR,PUMPKIN,315,320,320
MORADABAD,POTATO,1040,1050,1070
MORADABAD,GREEN CHILLI,2750,2850,2970
MORADABAD,TOMATO,850,850,870
NAANPARA,RAW BANANA,600,600,600
NAJIBABAD APMC,TOMATO,860,860,880
NAJIBABAD APMC,BRINJAL,1050,1050,1050
NAJIBABAD APMC,CAULIFLOWER,640,640,640
NAJIBABAD APMC,POTATO,880,900,900
NAJIBABAD APMC,CARROT,780,780,780
NAJIBABAD APMC,GREEN CHILLI,3630,3640,3640
NAUGARH APMC,CAULIFLOWER,1600,1650,1650
NAWABGANJ APMC,PADDY,2410,2410,2410
PALIA KALAN,CHILLI BANGARAM,3000,3000,3000
PALIA KALAN,LEMON,5800,5800,5801
PALIA KALAN,GINGER,4000,4000,4000
PALIA KALAN,TOMATO,1200,1200,1200
PILIBHIT,ONION,1800,1800,1810
PILIBHIT,TOMATO,400,407,410
PILIBHIT,POTATO,1000,1000,1010
PRATAPGARH,BRINJAL,1000,1000,1000
PRATAPGARH,POTATO,1000,1000,1000
PRATAPGARH,POTATO,1000,1000,1000
PRATAPGARH,TOMATO,650,650,650
PRATAPGARH,BOTTLE GOURD,1400,1400,1400
PRATAPGARH,CAULIFLOWER,750,750,750
PRATAPGARH,PUMPKIN,1400,1400,1400
PRAYAGRAJ,POTATO,1003,1008,1008
PRAYAGRAJ,GREEN CHILLI,2006,2015,2015
PURANPUR,POTATO,1320,1320,1320
PURANPUR,ONION,2310,2310,2310
RAE BARELI,CAULIFLOWER,600,600,600
RAE BARELI,PUMPKIN,500,500,500
RAE BARELI,CUCUMBER,1000,1000,1000
RAMPUR,ONION,1630,1630,1630
RAMPUR,TOMATO,790,910,910
RAMPUR,GREEN CHILLI,2260,2260,2310
RAMPUR,POTATO,610,620,750
RATH,WHITE PEAS,3500,3500,3500
RATH,PEAS GREEN ,7200,7200,7200
RATH,WHEAT,2500,2600,2600
SADABAD APMC,BOTTLE GOURD,1003,1003,1003
SADABAD APMC,POTATO,922,922,922
SADABAD APMC,RADDISH,663,663,663
SADABAD APMC,GREEN CHILLI,2612,2612,2612
SADABAD APMC,PUMPKIN,603,603,603
SADABAD APMC,TOMATO,512,512,512
SAFDARGANJ,PADDY COMMON,2200,2200,2200
SAHIYAPUR,BOTTLE GOURD,1565,1565,1565
SAHIYAPUR,LADY FINGER,2155,2155,2155
SAMBHAL APMC,GREEN CHILLI,1500,1500,1500
SAMBHAL APMC,TOMATO,900,900,900
SAMBHAL APMC,CUCUMBER,2000,2000,2000
SAMBHAL APMC,BHINDI (LADIES FINGER),1800,1800,1800
SANDILA APMC,BOTTLE GOURDE,1360,1400,1400
SANDILA APMC,CAULIFLOWER,1000,1000,1000
SANDILA APMC,PUMPKIN,1200,1250,1250
SANDILA APMC,BRINJAL,1275,1300,1300
SANDILA APMC,POTATO,1050,1050,1050
SHAGANJ,BRINJAL,1410,1410,1410
SHAGANJ,RADDISH,820,820,820
SHAGANJ,BOTTLE GOURD,1510,1510,1510
SHAGANJ,CARROT,1320,1320,1320
SHAHBAD HARDOI,WHEAT,2500,2500,2500
SHAHBAD HARDOI,MUSTARD,5450,5450,6200
SHAHJAHANPUR,WHEAT,2600,2600,2600
SHAMLI,JAGGERY,3378,3425,3632
SHAMLI,TOMATO,1000,1000,1000
SHAMLI,POTATO,1100,1200,1200
SITAPUR,PADDY,2005,2005,2005
SULTANPUR,PADDY,2150,2200,2200
TULSIPUR APMC,PADDY,2296,2300,2300
UNNAO APMC,TOMATO,655,660,662
UNNAO APMC,POTATO,1015,1015,1020
WAZIRGANJ APMC,MASOOR,6700,6700,6700
WAZIRGANJ APMC,MASOOR,6700,6700,6700
WAZIRGANJ APMC,PADDY,2150,2150,2150
DEHRADUN,CAPSICUM,1600,1600,1600
DEHRADUN,CAULIFLOWER,500,500,500
DEHRADUN,PUMPKIN,1300,1350,1350
DEHRADUN,BOTTLE GOURD,1300,1350,1350
DEHRADUN,CABBAGE,500,500,500
DEHRADUN,CARROT,900,900,900
DEHRADUN,CUCUMBER,1300,1300,1300
DEHRADUN,BRINJAL,1300,1350,1350
HALDWANI,BRINJAL,1200,1200,1200
HALDWANI,CARROT,1200,1200,1200
HALDWANI,GREEN CHILLI,1800,2000,2000
HALDWANI,PAPAYA,1300,1300,1300
HALDWANI,ONION,1500,1500,1500
HALDWANI,CAULIFLOWER,1200,1200,1500
HALDWANI,TOMATO,1200,1500,1500
HALDWANI,ONION,1500,1500,1500
HALDWANI,TOMATO,1200,1500,1500
HALDWANI,JAGGERY,2100,2200,2200
HALDWANI,BOTTLE GOURD,1200,1200,1200
HALDWANI,CAPSICUM,1010,1010,1010
HALDWANI,CAULIFLOWER,1200,1500,1500
HALDWANI,BANANA,1200,1200,1200
HALDWANI,LADY FINGER,2000,2000,2000
HALDWANI,PEAS GREEN ,1900,2000,2100
HALDWANI,PUMPKIN,1200,1200,1200
HALDWANI,BEANS -CLUSTER,2000,2000,2000
HALDWANI,POTATO,1200,1200,1200
HALDWANI,GRAPES,3000,3000,3000
HALDWANI,PEAS GREEN ,2000,2100,2100
HARIDWAR,CABBAGE,450,450,450
HARIDWAR,CAULIFLOWER,550,560,560
HARIDWAR,GREEN CHILLI,1550,1550,1550
HARIDWAR,POTATO,700,700,720
HARIDWAR,RADDISH,450,450,450
HARIDWAR,PAPAYA,1850,1860,1860
HARIDWAR,BOTTLE GOURD,1150,1160,1160
HARIDWAR,CARROT,550,550,550
HARIDWAR,CUCUMBER,1050,1050,1050
HARIDWAR,ONION,1550,1560,1560
HARIDWAR,PUMPKIN,1060,1060,1060
HARIDWAR,TOMATO,1050,1060,1060
HARIDWAR,BANANA,1050,1060,1060
HARIDWAR,PEAS GREEN ,1000,1060,1060
JASPUR,GREEN CHILLI,2000,2200,2200
JASPUR,PUMPKIN,600,1800,1800
JASPUR,TOMATO,800,800,800
JASPUR,BITTER GOURD,1300,1300,1300
JASPUR,BRINJAL,800,800,800
JASPUR,CAULIFLOWER,700,700,900
JASPUR,TOMATO,800,800,800
JASPUR,CUCUMBER,1000,1000,1200
JASPUR,LADY FINGER,1200,1300,1300
JASPUR,RADDISH,700,700,700
JASPUR,PADDY,2300,2300,2300
JASPUR,BOTTLE GOURD,1000,1000,1000
JASPUR,CARROT,800,1000,1000
JASPUR,CARROT,800,1000,1000
JASPUR,BEANS -CLUSTER,1500,1500,1500
KASHIPUR,CAULIFLOWER,500,500,500
KASHIPUR,LADY FINGER,3300,3600,3600
KASHIPUR,ONION,1500,1500,6800
KASHIPUR,BANANA,2200,2200,2600
KASHIPUR,RADDISH,500,500,600
KASHIPUR,ORANGE,2200,2200,2200
KASHIPUR,PEAS GREEN ,2300,2400,2400
KASHIPUR,CORIANDAR,1300,1400,1400
KASHIPUR,BOTTLE GOURD,1200,1200,1400
KASHIPUR,CABBAGE,700,1700,1700
KASHIPUR,CUCUMBER,1700,1700,1700
KASHIPUR,LEMON,5600,5600,5600
KASHIPUR,POTATO,1000,1000,1000
KASHIPUR,GUAVA,1700,1700,1700
KASHIPUR,TOMATO,500,500,500
KASHIPUR,PAPAYA,2200,2200,2300
KASHIPUR,CHILLIES,2300,3300,3300
KASHIPUR,GARLIC,4300,4300,4300
KASHIPUR,BRINJAL,1300,1500,1500
KHATIMA,CARROT,1000,1000,1000
KHATIMA,GREEN CHILLI,2200,2200,2200
KHATIMA,BRINJAL,800,1000,1000
KHATIMA,TOMATO,500,500,500
KHATIMA,CAULIFLOWER,600,600,600
KHATIMA,LADY FINGER,2200,2200,2200
KOTDWAR,MOUSAMBI,800,800,800
LAKSAR,WHEAT,2400,2400,2400
MANGLOUR,CHIKOOS,2030,2030,2100
MANGLOUR,PAPAYA,1065,1065,1065
MANGLOUR,ONION,1415,1450,1450
MANGLOUR,TOMATO,775,785,785
MANGLOUR,BANANA,1050,1050,1060
MANGLOUR,GRAPES,2850,2860,2900
MANGLOUR,CUCUMBER,812,820,820
MANGLOUR,POTATO,868,870,875
NANAKMATTA,PADDY,1610,1705,1770
RAMNAGAR,BOTTLE GOURD,700,800,800
RAMNAGAR,CABBAGE,600,600,600
RAMNAGAR,CARROT,1000,1000,1000
RAMNAGAR,CUCUMBER,650,700,800
RAMNAGAR,POTATO,700,700,700
RAMNAGAR,RIDGE GOURD (TURAI),3450,3450,3450
RAMNAGAR,BANANA,1000,1000,1000
RAMNAGAR,ONION RED,1300,1300,1300
RAMNAGAR,PEAS GREEN ,2500,2500,2500
RAMNAGAR,BRINJAL,700,700,800
RAMNAGAR,CAPSICUM,2000,2000,2000
RAMNAGAR,CAULIFLOWER,700,700,2500
RAMNAGAR,LADY FINGER,3450,3450,3450
RAMNAGAR,PUMPKIN,800,800,800
RAMNAGAR,TOMATO,500,4000,4000
RAMNAGAR,APPLE,5000,5000,5000
RAMNAGAR,GRAPES,6000,6000,6000
RISHIKESH,PEAS GREEN ,1455,1455,1455
RISHIKESH,CARROT,1345,1345,1345
RISHIKESH,CUCUMBER,1200,1200,1200
RISHIKESH,POTATO,805,805,810
RISHIKESH,CABBAGE,485,485,515
RISHIKESH,CAULIFLOWER,500,510,510
RISHIKESH,LEMON,4675,4675,4675
RISHIKESH,TOMATO,825,825,825
ROORKEE,BOTTLE GOURD,500,500,500
ROORKEE,CABBAGE,800,800,800
ROORKEE,BEANS -CLUSTER,1000,1000,1000
ROORKEE,GREEN CHILLI,1600,1600,1600
ROORKEE,POTATO,600,600,600
ROORKEE,BANANA,1000,1000,1000
ROORKEE,BITTER GOURD,1000,1000,1000
ROORKEE,BRINJAL,800,800,800
ROORKEE,CAULIFLOWER,500,500,500
ROORKEE,CUCUMBER,1000,1000,1000
ROORKEE,ONION,1500,1500,1500
ROORKEE,TOMATO,800,800,800
ROORKEE,PEAS GREEN ,1600,1600,1600
SITARGANJ,BANANA,2200,2200,2200
SITARGANJ,CAULIFLOWER,500,500,500
SITARGANJ,BOTTLE GOURD,400,400,400
SITARGANJ,POTATO,800,800,800
BAGDA KRISHAK BAZAR,PUMPKIN,1200,1200,1200
BAGDA KRISHAK BAZAR,PAPAYA,3000,3000,3000
BAGDA KRISHAK BAZAR,BRINJAL,3500,3500,3500
BAGDA KRISHAK BAZAR,GREEN CHILLI,5000,5000,5000
BAGDA KRISHAK BAZAR,POINTED GOURD (PARWAL),3200,3200,3200
BAGDA KRISHAK BAZAR,BITTER GOURD,2000,2000,2000
BAGDA KRISHAK BAZAR,CARROT,1200,1200,1200
BAGDA KRISHAK BAZAR,IVY GOURD (KUNDRU),1000,1000,1000
BETHUADAHARI PRINCIPAL MARKET YARD,CUCUMBER,1805,1806,1806
BETHUADAHARI PRINCIPAL MARKET YARD,ONION,1503,1505,1505
BETHUADAHARI PRINCIPAL MARKET YARD,BRINJAL,2505,3005,3005
BETHUADAHARI PRINCIPAL MARKET YARD,GREEN CHILLI,3005,3005,3006
BETHUADAHARI PRINCIPAL MARKET YARD,POTATO,1003,1006,1506
BETHUADAHARI PRINCIPAL MARKET YARD,BRINJAL,2505,2506,2509
BETHUADAHARI PRINCIPAL MARKET YARD,GREEN CHILLI,3005,3005,3005
BETHUADAHARI PRINCIPAL MARKET YARD,POTATO,1006,1006,1506
BETHUADAHARI PRINCIPAL MARKET YARD,CUCUMBER,1504,1806,1806
BETHUADAHARI PRINCIPAL MARKET YARD,ONION,1503,1505,1505
BISHNUPUR,BITTER GOURD,1800,1800,1800
BISHNUPUR,CUCUMBER,3800,3800,3800
BISHNUPUR,POINTED GOURD (PARWAL),4800,4800,4800
BISHNUPUR,TOMATO,1000,1000,1000
BISHNUPUR,BRINJAL,3800,3800,3800
BISHNUPUR,GREEN CHILLI,3000,3000,3000
BISHNUPUR,POTATO SWEET,2000,2000,2000
DHUPGURI PRINCIPAL MARKET YARD,BRINJAL,1600,1600,1600
DHUPGURI PRINCIPAL MARKET YARD,CARROT,800,800,800
DHUPGURI PRINCIPAL MARKET YARD,BEANS -CLUSTER,800,800,800
DHUPGURI PRINCIPAL MARKET YARD,POTATO,750,750,750
DHUPGURI PRINCIPAL MARKET YARD,CABBAGE,250,250,250
DHUPGURI PRINCIPAL MARKET YARD,CAULIFLOWER,550,550,550
DHUPGURI PRINCIPAL MARKET YARD,GREEN CHILLI,1600,1600,1600
DHUPGURI PRINCIPAL MARKET YARD,TOMATO,250,250,250
GANGARAMPUR,BITTER GOURD,3412,3415,3415
GANGARAMPUR,CABBAGE,725,725,725
GANGARAMPUR,POTATO,975,1000,1030
GANGARAMPUR,BRINJAL,1430,1430,1430
GANGARAMPUR,CUCUMBER,1815,1815,1815
GANGARAMPUR,PUMPKIN,1510,1510,1514
ISLAMPUR PRINCIPAL MARKET YARD,CABBAGE,400,400,400
JIYAGANJ KRISHAK BAZAR,BITTER GOURD,3500,3500,3500
JIYAGANJ KRISHAK BAZAR,CARROT,1600,1600,1600
JIYAGANJ KRISHAK BAZAR,GREEN CHILLI,4500,4500,4500
JIYAGANJ KRISHAK BAZAR,POINTED GOURD (PARWAL),3000,3000,3000
JIYAGANJ KRISHAK BAZAR,BRINJAL,2500,2500,2500
JIYAGANJ KRISHAK BAZAR,CUCUMBER,5000,5000,5000
JIYAGANJ KRISHAK BAZAR,LADY FINGER,3500,3500,3500
JIYAGANJ KRISHAK BAZAR,TOMATO,500,500,500
KALNA SUB MARKET YARD,TOMATO,500,500,500
KALNA SUB MARKET YARD,GARLIC,5000,5000,5000
KALNA SUB MARKET YARD,BITTER GOURD,3000,3000,3000
KALNA SUB MARKET YARD,GREEN CHILLI,3500,3500,3500
KALNA SUB MARKET YARD,ONION,1800,1800,1800
KALNA SUB MARKET YARD,PUMPKIN,800,800,800
KALNA SUB MARKET YARD,GINGER,5500,5500,5500
KALNA SUB MARKET YARD,CABBAGE,500,500,500
KALNA SUB MARKET YARD,LADY FINGER,3500,3500,3500
KALNA SUB MARKET YARD,POINTED GOURD (PARWAL),5000,5000,5000
KARIMPUR SUBMARKET YARD,POINTED GOURD (PARWAL),2830,2840,2840
KARIMPUR SUBMARKET YARD,BRINJAL,3430,3440,3440
MOHAMAD BAZAR KRISHAK BAZAR,CABBAGE,500,500,500
MOHAMAD BAZAR KRISHAK BAZAR,PUMPKIN,700,700,700
MOHAMAD BAZAR KRISHAK BAZAR,POTATO,800,800,800
MOHAMAD BAZAR KRISHAK BAZAR,TOMATO,300,300,300
NAKASHIPARA KRISHAK BAZAR,MARI GOLD,2475,2500,2520
NAKASHIPARA KRISHAK BAZAR,TUBEROSE,3540,3550,3550
SAMSHERGANJ KRISHAK BAZAR,CUCUMBER,3050,3050,3050
SAMSHERGANJ KRISHAK BAZAR,POTATO,1000,1000,1000
SAMSHERGANJ KRISHAK BAZAR,BRINJAL,2250,2250,2250
SAMSHERGANJ KRISHAK BAZAR,POINTED GOURD (PARWAL),3500,3500,3500
SAMSHERGANJ KRISHAK BAZAR,TOMATO,575,575,575
SAMSI SUB MARKET YARD,CUCUMBER,1515,1515,1515
SAMSI SUB MARKET YARD,BRINJAL,1620,1620,1620
SAMSI SUB MARKET YARD,WATER MELON,1920,1920,1920
SILIGURI REGULATED MARKET COMM,CAPSICUM,2520,2520,2520
SILIGURI REGULATED MARKET COMM,CUCUMBER,1020,1020,1020
SILIGURI REGULATED MARKET COMM,POTATO,930,930,930
SILIGURI REGULATED MARKET COMM,PUMPKIN,730,730,730
SILIGURI REGULATED MARKET COMM,BRINJAL,2025,2025,2025
SILIGURI REGULATED MARKET COMM,CARROT,1020,1020,1020
SILIGURI REGULATED MARKET COMM,GREEN CHILLI,3420,3420,3420
SILIGURI REGULATED MARKET COMM,SQUASH,420,420,420
SILIGURI REGULATED MARKET COMM,TOMATO,500,500,500
